0
"(59, 833, 7.674552989352961)"
"(60, 39, 50.232822168392794)"
"(61, 846, 3.6964772917855795)"
"(62, 3932, 9.504462970527069)"
"(63, 28, 16.770046927345156)"
"(64, 1889, 22.735044761607316)"
"(65, 19, 20.709348750352177)"
"(66, 778, 8.254525555835617)"
"(67, 202, 9.951704340375898)"
"(68, 4215, 616.0660903117845)"
"(69, 314, 4.036080235588883)"
"(70, 1893, 7.8461998343728245)"
"(71, 299, 15.338793136179573)"
"(72, 1218, 32.62052881161681)"
"(73, 1241, 97.15544759519122)"
"(74, 2115, 102.45107525413569)"
"(75, 2756, 109.05065643517656)"
"(76, 1218, 12.709131439699577)"
"(77, 380, 179.7109848311744)"
"(78, 3379, 123.57793407983777)"
"(79, 1239, 13.38912244138332)"
"(80, 806, 14.396664498958733)"
"(81, 1891, 126.6608912722417)"
"(82, 409, 45.10378120848205)"
"(83, 844, 6.076657294802636)"
"(84, 3300, 53.80513554708304)"
"(85, 3691, 23.885137907375366)"
"(86, 1523, 84.64012982442793)"
"(87, 146, 2.583879131745336)"
"(88, 146, 28.744314578579903)"
"(89, 522, 32.14669074021337)"
"(90, 390, 9.591730096213135)"
"(91, 4223, 890.1748404048318)"
"(92, 1493, 28.218793248014826)"
"(93, 1183, 87.80477379352669)"
"(94, 780, 8.560577443883403)"
"(95, 2165, 212.15457825126018)"
"(96, 1454, 9.785602304120173)"
"(97, 59, 86.08649852985775)"
"(98, 995, 43.22035480599273)"
"(99, 2947, 112.5958247535194)"
"(100, 2947, 96.61362452278621)"
"(101, 4189, 177.63355603774727)"
"(102, 1033, 15.46915740037506)"
"(103, 2544, 20.108026591559298)"
"(104, 1618, 87.81198513270344)"
"(105, 407, 0.880304933280106)"
"(106, 692, 29.04352041412878)"
"(107, 1815, 19.755955725252566)"
"(108, 858, 12.13435525508427)"
"(109, 1531, 8.170836003838252)"
"(110, 1321, 111.87954123406038)"
"(111, 1844, 12.578270427341213)"
"(112, 823, 14.343430261666125)"
"(113, 1844, 36.13376526064321)"
"(114, 1519, 145.98702537344246)"
"(115, 94, 20.281524233424697)"
"(116, 946, 0.2609042008684518)"
"(117, 1285, 109.10064133161619)"
"(118, 3778, 25.38052415979691)"
"(119, 410, 12.290919233763866)"
"(120, 505, 6.2500740158046035)"
"(121, 62, 24.939397952524704)"
"(122, 1081, 15.810185335346835)"
"(123, 1359, 48.631784352702894)"
"(124, 3853, 68.73184710839932)"
"(125, 2548, 65.26882264662274)"
"(126, 1829, 33.359933286807724)"
"(127, 2659, 2.8548038233657325)"
