ID;ISTAT_PROVINCIA;PROVINCIA;ISTAT;COMUNE;DENOMINAZIONE_DEL_MERCATO;INDIRIZZI;PERIODICITA_DEL_MERCATO;GIORNO_DI_MERCATO;FREQUENZA_SETTIMANALE;DALLE_ORE_ESTIVO;ALLE_ORE_ESTIVO;DAL;AL;ANNO_ISTITUZIONE_MERCATO;ISTITUZIONE_ALTRO_RIFERIMENTO_TEMPORALE;N_POST_ALIM;N_POST_NON_ALIM;N_POST_TOT;SUP_POST_NON_ALIM;SUP_POST_ALIM;SUP_POST_TOT;POSTI_DEST_PRODOTTI_TIPICI_LOMBARDI;POSTI_DEST_PRODOTTI_AGRICOLI;POSTI_DEST_PRODOTTI_FLOROVIVAISTICI
100468;15;MI;15146;MILANO;VIA DELLA RONDINE;VIA DELLA RONDINE;SETTIMANALE;SABATO;;07:30;14:00;01-gen;31-dic;2000;;28;37;65;570.75;549.9;1120.65;0;1;0
100453;15;MI;15146;MILANO;VIA CALATAFIMI;VIA CALATAFIMI;SETTIMANALE;GIOVEDÌ;;07:30;14:00;01-gen;31-dic;2000;;50;9;59;159;565.5;724.5;0;1;0
100417;15;MI;15125;LOCATE DI TRIULZI;PIAZZA CURIEL;;;;;;;;;;;;;;;;;;;
100330;15;MI;15002;ABBIATEGRASSO;PIAZZA L. SAMEK (VENERDI);PIAZZA E.SAMEK LODOVICI;;;;;;;;;;;;;;;;;;
529828;15;MI;15164;OSSONA;P.ZZA LITTA MODIGNANI;;;;;;;;;;;;;;;;;;;
100497;15;MI;15146;MILANO;VIA RANCATI;VIA ILARIONE RANCATI;SETTIMANALE;MERCOLEDÌ;;07:30;14:00;01-gen;31-dic;2000;;51;47;98;846;823;1669;0;1;0
100520;15;MI;15146;MILANO;VIALE GIOVANNI DA CERMENATE;VIALE GIOVANNI DA CERMENATE;SETTIMANALE;MERCOLEDÌ;;07:30;14:00;01-gen;31-dic;2000;;80;95;175;1321.8;1161.6;2483.4;0;1;0
100473;15;MI;15146;MILANO;VIA FAUCHE' (MARTEDI);VIA GIOVANNI BATTISTA FAUCHE';SETTIMANALE;MARTEDÌ;;07:30;14:00;01-gen;31-dic;1997;;60;81;141;1256;914.25;2170.25;0;1;0
100364;15;MI;15059;CASSANO D'ADDA;VIA ROSSINI;;;;;;;;;;;;;;;;;;;
100482;15;MI;15146;MILANO;VIA MARCO AURELIO;VIA MARCO AURELIO;SETTIMANALE;VENERDÌ;;07:30;14:00;01-gen;31-dic;1999;;81;151;232;1727.5;1008.5;2736;0;1;0
100556;15;MI;15179;PREGNANA MILANESE;VIA LEOPARDI;;;;;;;;;;;;;;;;;;;
100425;15;MI;15139;MEDIGLIA;MERCATO DI TRIGINTO;PIAZZA SANDRO PERTINI;SETTIMANALE;VENERDÌ;;08:00;13:00;01-gen;31-dic;1999;;8;10;18;375;270;645;0;1;0
100347;15;MI;15027;BOLLATE;MERCATO DEL VENERDÌ;VIA OSPITALETTO;SETTIMANALE;VENERDÌ;;14:00;18:00;;;;primi anni '70;7;7;14;245;245;490;0;1;0
100551;15;MI;15176;POGLIANO MILANESE;VIA EUROPA;VIA EUROPA;SETTIMANALE;VENERDÌ;;08:00;12:00;;;1983;;14;34;48;1402;505;1907;0;1;0
100456;15;MI;15146;MILANO;VIA CANALETTO;VIA CANALETTO;SETTIMANALE;VENERDÌ;;07:30;14:00;01-gen;31-dic;2000;;105;99;204;1325.55;1498.7;2824.25;0;2;0
100448;15;MI;15146;MILANO;VIA BENTIVOGLIO;VIA PAOLO BENTIVOGLIO;SETTIMANALE;MERCOLEDÌ;;07:30;14:00;01-gen;31-dic;1997;;41;48;89;654;603;1257;0;1;0
100350;15;MI;15032;BRESSO;MERCATO NORD;VIA PIERO GOBETTI, *;;;;;;;;;;;;;;;;;;
100408;15;MI;15113;INVERUNO;MERCATO SETTIMANALE DEL MERCOLEDI';VIA GAETANO TANZI MIRA, SNC;SETTIMANALE;MERCOLEDÌ;;07:00;14:00;;;;metà '900;13;28;41;1106.6;482.15;1588.75;0;1;0
100589;15;MI;15206;SENAGO;MERCATO DI PIAZZA ALDO MORO;PIAZZA ALDO MORO, SN;SETTIMANALE;LUNEDÌ;;08:00;13:00;01-gen;31-dic;1976;;40;112;152;4173;1607;5780;0;2;0
702879;15;MI;15146;MILANO;MERCATO SPERIMENTALE DI VIA VITTORINI QUARTIERE PONTE LAMBRO;VIA ELIO VITTORINI;SETTIMANALE;DOMENICA;;07:30;14:00;01-gen;31-dic;2015;;13;21;34;315;180;495;0;0;0
